Country   ,Albania ,Andorra ,Armenia ,Austria,Azerbaijan ,Belarus ,Belgium ,Bosnia and Herzegovina ,Bulgaria ,Croatia ,Cyprus ,Czech Republic ,Denmark ,Estonia ,Finland ,France ,Georgia,Germany ,Greece ,Hungary ,Iceland ,Ireland ,Israel ,Latvia ,Lithuania ,Macedonia ,Malta ,Moldova ,Monaco,Montenegro ,Netherlands ,Norway ,Poland ,Portugal ,Romania ,Russia ,San Marino,Serbia ,Serbia & Montenegro,Slovakia ,Slovenia ,Spain ,Sweden ,Switzerland ,Turkey ,Ukraine ,United Kingdom 
Azerbaijan,4,0,1,,,10,3,3,8,10,8,10,8,7,2,1,,0,8,10,0,0,6,4,5,3,1,10,,6,10,10,6,0,4,7,,4,,4,1,0,8,0,12,10,3
Bosnia and Herzegovina,5,0,0,,2,0,0,,4,12,0,0,0,0,6,0,,2,0,0,2,0,0,0,0,10,0,0,,12,4,0,0,0,0,0,,12,,8,10,0,5,4,8,0,0
Moldova,0,0,2,,7,0,4,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,,0,0,3,5,12,12,1,,0,,0,0,5,0,0,7,7,0
Malta,0,1,0,,0,0,0,0,0,0,0,0,0,0,3,0,,4,0,0,0,5,0,1,1,0,,0,,0,0,0,0,0,3,0,,7,,0,0,0,0,0,0,0,6
Estonia,0,0,0,,4,4,0,0,0,6,3,0,5,,12,0,,1,5,6,10,6,0,10,10,0,0,7,,0,0,0,8,0,1,8,,0,,12,0,0,7,0,0,4,0
Denmark,0,5,0,,0,0,0,0,0,0,6,0,,0,0,5,,0,0,3,4,4,0,3,2,0,6,5,,0,0,8,7,0,2,0,,1,,0,8,0,0,0,0,5,0
Germany,3,0,0,,0,0,2,2,0,0,0,0,7,0,0,3,,,0,0,0,1,0,0,0,0,0,0,,0,2,6,0,1,0,0,,0,,0,0,0,0,0,1,0,7
Turkey,10,0,4,,12,0,12,7,10,1,0,1,6,0,5,12,,10,3,5,0,0,3,0,0,12,5,0,,3,8,7,0,3,6,0,,0,,0,0,2,6,12,,0,12
Albania,,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,,0,7,2,0,0,0,0,0,7,0,0,,7,0,0,0,0,0,0,,0,,0,2,0,1,6,10,0,0
Norway,7,10,8,,8,12,10,10,2,8,10,3,12,12,8,8,,12,10,12,12,8,12,12,12,8,8,8,,10,12,,12,5,5,12,,10,,10,12,12,12,8,3,12,10
Ukraine,0,0,3,,10,6,0,0,0,0,0,5,0,0,0,0,,0,0,8,0,0,2,0,4,0,2,4,,0,0,5,10,6,0,2,,0,,1,0,6,0,0,0,,2
Romania,0,0,0,,3,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,2,0,0,0,5,0,12,,0,0,0,0,2,,0,,2,,0,0,7,0,0,5,0,0
United Kingdom,8,4,7,,0,3,0,4,7,4,7,6,3,0,0,4,,8,12,1,0,10,4,2,3,6,10,1,,0,3,2,4,10,0,6,,8,,7,3,10,0,0,0,6,
Finland ,0,0,0,,0,0,0,0,3,0,0,0,0,4,,0,,0,0,0,8,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,,0,,0,0,0,4,0,0,0,0
Spain,0,12,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,7,0,0,,0,,0,0,,0,3,0,0,0
Romania,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,6,0,0,0,0,12,,0,0,0,0,4,,0,1,0,,,0,12,0,0,0,0,0
United Kingdom,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,6,0,,,0,0,0,0,0,0,
Albania,,0,0,,1,0,0,1,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,12,0,0,,7,0,0,0,0,0,0,3,0,,,4,0,0,8,1,0,0
Germany,0,0,0,,0,0,0,0,12,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0
Armenia,2,0,,,0,7,12,6,8,0,10,12,0,0,0,12,12,6,12,0,1,0,8,0,0,1,0,2,,1,12,0,12,0,4,12,8,5,,,5,10,2,0,10,7,0
Bosnia and Herzegovina,0,0,0,,3,0,0,,0,12,0,1,2,0,6,2,0,5,0,0,0,2,0,0,0,5,0,0,,10,7,10,0,0,0,0,0,12,,,10,0,10,7,6,0,0
Israel,4,0,6,,7,4,5,5,2,2,2,0,0,0,8,6,3,3,1,3,0,0,,0,3,0,0,6,,5,3,3,5,0,6,6,10,7,,,3,0,0,1,0,5,0
Finland ,0,4,0,,0,0,0,0,0,0,0,0,0,10,,0,0,0,0,0,7,0,0,1,0,0,0,0,,0,0,4,2,0,0,0,0,0,,,0,0,7,0,0,0,0
Croatia,0,0,2,,0,0,0,10,0,,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,2,0,0,,2,0,0,0,3,1,1,0,3,,,8,0,0,3,0,1,0
Poland,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,4
Iceland,0,0,0,,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,,0,4,2,0,0,6,0,,0,0,8,0,7,0,0,0,0,,,0,4,8,0,0,0,6
Turkey,10,0,0,,12,3,10,8,5,0,0,0,4,0,4,10,6,10,0,5,0,0,0,0,0,7,0,0,,0,10,2,0,0,8,2,4,0,,,0,0,0,6,,4,8
Portugal,0,10,0,,0,0,6,0,0,3,0,0,0,0,0,8,0,4,0,0,6,0,0,0,0,0,0,0,,0,5,0,0,,0,0,5,1,,,0,8,0,10,0,3,0
Latvia,0,2,0,,0,0,0,0,0,4,0,3,6,7,0,0,2,0,0,0,4,12,0,,10,0,7,0,,3,0,0,0,8,0,0,0,0,,,0,2,3,0,0,0,10
Sweden,3,0,0,,0,0,0,0,0,0,1,0,8,2,5,0,0,0,0,1,3,0,1,0,1,0,12,0,,0,0,7,0,0,0,0,0,2,,,0,1,,0,0,0,0
Denmark,0,0,0,,0,0,0,0,0,0,0,2,,3,0,0,0,0,0,2,12,1,0,7,2,0,4,0,,0,0,12,0,5,0,0,2,0,,,0,0,5,0,0,0,3
Georgia,0,0,10,,4,6,0,0,0,0,7,4,0,5,0,0,,0,4,0,0,0,2,8,5,0,5,3,,0,0,0,0,1,0,7,0,0,,,0,0,0,0,4,8,0
Ukraine,8,6,5,,10,10,1,3,7,7,6,8,7,4,3,0,10,0,6,6,5,6,10,10,6,4,10,7,,4,0,0,10,12,3,8,0,6,,,2,7,0,0,8,,5
France,0,3,4,,0,0,0,0,0,0,0,0,5,6,2,,0,0,0,0,8,0,0,3,8,0,0,0,,0,0,1,1,0,0,0,0,0,,,0,0,4,0,0,0,2
Azerbaijan,0,7,0,,,8,7,0,3,0,0,10,0,0,0,0,7,1,3,12,0,0,3,4,7,8,0,8,,0,2,0,7,0,2,10,0,0,,,1,0,0,0,12,10,0
Greece,12,8,8,,6,2,8,7,10,5,12,5,3,1,0,3,4,12,,8,0,4,5,0,0,3,2,4,,6,6,0,3,0,12,3,12,8,,,6,3,1,5,7,2,12
Spain,1,12,1,,0,0,4,0,0,0,4,0,1,0,1,5,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,10,0,0,0,0,,,0,,0,4,3,0,1
Serbia,5,0,3,,2,1,0,12,4,10,5,6,0,0,0,7,0,8,5,7,2,0,0,0,0,10,1,1,,12,8,6,4,0,7,4,0,,,,12,0,6,12,0,0,0
Russia,6,5,12,,8,12,3,4,6,6,8,7,0,12,10,1,8,7,7,10,0,5,12,12,12,6,8,10,,8,1,5,6,6,10,,0,10,,,7,5,0,0,5,12,0
Norway,7,1,7,,5,5,2,2,1,1,0,0,10,8,12,0,5,0,2,4,10,7,7,6,4,0,3,5,,0,4,,8,2,5,5,7,4,,,0,6,12,0,2,6,7
Bosnia and Herzegovina,8,0,1,8,,0,0,,0,10,0,4,7,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,,7,7,6,0,0,0,0,,8,,,8,0,6,8,10,0,0
Spain,12,0,0,0,,0,3,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,2,0,,4,0,0,0,8,0,0,,0,,,0,,0,5,0,0,0
Belarus,2,0,10,0,,,0,4,1,0,6,2,0,7,0,0,8,0,5,4,4,0,12,8,7,7,10,10,,3,0,0,7,1,1,12,,2,,,0,0,0,0,0,12,0
Ireland,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0
Finland ,0,7,0,0,,1,0,0,0,0,0,0,4,6,,0,0,1,0,0,12,0,0,0,5,0,0,0,,0,0,4,0,0,0,0,,0,,,0,0,12,1,0,0,0
Macedonia,3,0,0,1,,0,0,8,10,8,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,10,0,0,0,0,0,0,,10,,,10,0,0,6,1,0,0
Slovenia,0,0,0,0,,4,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,5,0,,8,0,0,4,3,0,3,,5,,,,3,0,0,0,4,0
Hungary,0,6,0,2,,0,5,0,0,4,0,0,8,4,10,0,5,7,0,,8,5,0,5,4,0,1,0,,0,4,8,2,2,8,0,,12,,,5,0,8,3,0,0,2
Lithuania,0,1,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,,0,0,0,,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,3
Greece,7,0,8,0,,3,8,3,12,0,12,3,1,0,0,3,4,10,,7,5,0,1,0,0,3,0,6,,0,5,0,0,0,10,0,,4,,,0,2,4,4,4,0,10
Georgia,0,0,5,0,,6,6,1,0,2,1,1,0,5,7,0,,0,3,2,0,1,6,6,12,0,0,4,,0,2,0,5,0,0,7,,0,,,2,0,0,0,5,8,0
Sweden,0,2,0,0,,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,,0,0,12,0,0,0,0,,0,,,0,0,,0,0,0,7
France,4,8,2,0,,0,0,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,3,0,0,0,,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0
Latvia,0,0,0,0,,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,10,0,,10,0,4,0,,0,3,3,1,0,2,0,,0,,,6,0,0,0,0,0,4
Russia,0,3,12,0,,12,0,2,5,3,7,6,2,12,3,2,7,6,8,6,1,6,8,7,6,5,6,8,,6,0,5,3,4,3,,,7,,,3,4,5,0,8,10,6
Germany,6,5,0,7,,0,0,0,0,0,0,0,5,3,1,0,0,,0,0,2,0,0,0,0,0,0,0,,0,6,0,0,0,0,0,,0,,,0,5,1,7,0,0,1
Serbia,1,0,7,12,,7,7,12,6,12,3,8,6,0,12,8,6,8,4,12,7,4,3,3,0,12,8,5,,12,8,10,8,5,6,5,,,,,12,1,10,12,0,6,0
Ukraine,0,12,6,4,,10,1,5,3,5,4,12,3,8,6,4,10,5,7,3,6,8,10,12,8,2,3,7,,2,1,2,12,12,4,8,,3,,,4,7,3,2,3,,8
United Kingdom,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,0,,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,
Romania,0,10,0,3,,0,0,0,2,0,5,0,0,0,0,7,0,0,2,8,0,3,7,1,0,0,0,12,,0,0,0,0,7,,1,,0,,,0,12,0,0,2,2,0
Bulgaria,0,0,4,6,,0,4,6,,6,10,7,0,1,5,5,0,4,12,10,0,0,0,2,0,8,7,3,,5,0,0,0,6,5,4,,6,,,7,10,0,0,6,3,5
Turkey,10,0,0,10,,0,12,10,7,0,0,0,10,0,4,12,2,12,0,1,3,0,0,0,0,10,0,1,,1,12,7,0,0,7,2,,0,,,0,0,7,10,,1,12
Armenia,0,0,,5,,5,10,0,8,0,8,10,0,0,0,10,12,2,6,0,0,0,5,0,0,0,0,2,,0,10,0,10,0,0,10,,0,,,0,8,0,0,12,5,0
Moldova,0,4,3,0,,6,0,0,4,0,2,0,0,0,2,0,3,0,10,5,0,2,4,0,2,1,0,,,0,0,1,6,10,12,6,,1,,,1,6,2,0,7,7,0
Switzerland,0,0,0,,,0,0,4,0,0,0,,0,0,0,0,,0,0,,0,0,4,0,0,0,12,0,6,,3,0,0,1,0,0,,,0,,0,0,0,,0,0,0
Moldova,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,,0,1,,0,0,0,0,0,0,0,,0,,0,0,0,3,12,3,,,0,,0,2,0,0,1,0,0
Israel,0,0,0,,,0,0,0,0,0,0,,0,0,0,4,,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
Latvia,0,0,0,,,0,0,0,0,0,0,,0,3,0,0,,0,0,,0,4,0,,8,0,0,0,8,,0,0,0,0,0,1,,,0,,0,0,0,0,0,4,2
Norway,0,0,1,,,1,0,0,0,0,0,,1,0,5,0,,0,2,,4,0,0,6,0,0,0,3,1,,0,,0,0,0,7,,,0,,0,0,2,0,0,3,0
Spain,6,12,0,,,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,,0,,0,0,0,0,0
Malta,1,0,0,,,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
Germany,5,0,0,,,0,1,0,0,0,3,,3,0,0,0,,,0,,0,3,0,3,0,0,0,0,0,,0,1,0,0,0,0,,,0,,0,5,0,7,0,0,5
Denmark,0,0,0,,,0,0,0,0,0,0,,,1,3,0,,0,0,,8,0,0,0,0,0,0,0,0,,0,6,0,0,0,0,,,0,,0,0,8,0,0,0,0
Russia,4,6,12,,,12,3,6,10,7,2,,2,10,12,2,,6,8,,5,5,12,12,12,8,5,10,0,,8,3,10,7,8,,,,5,,4,7,7,0,5,12,1
Macedonia,3,0,7,,,0,0,8,6,8,0,,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,8,,6,0,0,4,6,0,0
Romania,0,5,3,,,3,10,2,2,7,10,,6,4,7,1,,5,6,,3,5,10,2,1,2,10,12,2,,4,4,3,3,,4,,,2,,4,12,6,1,3,6,6
Bosnia and Herzegovina,12,0,5,,,4,6,,7,12,8,,8,0,10,6,,7,6,,3,2,2,0,4,12,0,5,12,,2,8,4,2,7,6,,,12,,12,1,10,12,12,10,0
Lithuania,0,7,0,,,6,4,0,1,6,6,,7,8,8,0,,1,4,,10,12,3,10,,3,1,4,7,,4,5,8,4,0,5,,,3,,3,4,3,0,0,5,10
United Kingdom,0,2,0,,,0,0,0,0,1,0,,4,2,0,0,,0,0,,0,8,0,1,0,0,3,0,0,,1,2,1,0,0,0,,,0,,0,0,0,0,0,0,
Greece,8,1,8,,,2,10,1,12,0,5,,0,0,1,5,,8,,,0,0,0,0,3,7,8,1,0,,12,0,0,0,10,0,,,6,,0,0,4,5,4,0,7
Finland ,0,10,0,,,7,8,7,5,10,7,,12,12,,8,,10,12,,12,10,7,8,10,6,7,6,0,,5,12,12,6,4,8,,,7,,8,10,12,8,7,7,12
Ukraine,0,5,10,,,10,0,5,3,4,1,,0,5,2,0,,0,5,,6,1,6,5,7,5,2,8,2,,6,0,6,12,3,10,,,2,,2,3,1,0,8,,0
France,0,0,2,,,0,0,0,0,0,0,,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
Croatia,0,0,0,,,0,0,12,0,,0,,0,0,0,0,,2,0,,0,0,0,0,0,10,0,0,4,,0,0,0,0,0,0,,,10,,10,0,0,6,2,0,0
Ireland,0,4,3,,,0,0,0,0,2,4,,5,6,4,1,,4,0,,1,,0,4,6,0,4,0,10,,0,7,2,5,2,0,,,0,,1,0,5,3,0,2,8
Sweden,10,8,6,,,5,5,3,0,3,0,,10,7,7,3,,0,0,,7,7,5,7,5,1,6,2,5,,0,10,7,8,5,2,,,1,,7,6,,2,0,6,4
Turkey,7,0,0,,,0,7,10,4,0,12,,0,0,0,12,,12,3,,0,0,1,0,0,4,0,0,0,,0,0,0,0,6,0,,,0,,0,0,0,10,,0,3
Armenia,0,0,,,,8,12,0,8,0,10,,0,0,0,10,,3,10,,0,0,8,0,2,0,0,7,0,,7,0,5,0,1,12,,,0,,0,8,0,0,10,8,0
Hungary,0,6,,0,,2,2,1,5,6,7,,0,3,0,3,,0,2,,6,0,8,3,0,1,0,0,0,,0,0,10,2,8,3,,,6,,0,5,0,0,6,2,0
United Kingdom,0,0,,0,,0,0,0,0,0,5,,0,0,0,0,,0,0,0,0,8,0,0,0,0,4,0,0,,0,0,0,0,0,0,,,0,,0,0,0,0,1,0,
Malta,4,0,,5,,5,8,0,0,4,6,,10,4,8,7,,8,8,5,4,10,10,5,2,0,,0,5,,5,10,0,0,2,12,,,0,,1,7,6,3,8,10,10
Romania,5,7,,6,,1,7,2,8,0,8,,3,0,0,5,,0,5,10,5,5,12,0,0,2,7,7,4,,3,6,7,12,,0,,,3,,0,12,2,0,4,0,0
Norway,0,2,,0,,4,3,3,1,0,3,,12,8,12,0,,0,4,0,12,4,1,6,5,0,5,3,0,,1,,8,0,0,0,,,2,,4,3,8,0,0,6,5
Turkey,8,0,,7,,0,10,8,3,0,0,,8,0,0,12,,10,0,0,0,0,0,0,0,4,0,0,0,,12,0,0,0,3,0,,,0,,0,0,0,6,,0,1
Moldova,0,0,,2,,7,1,4,6,1,2,,0,6,0,2,,1,7,4,8,0,4,8,10,5,2,,0,,0,0,3,10,12,10,,,5,,3,4,0,0,7,12,2
Albania,,0,,3,,0,0,5,0,2,0,,0,0,0,1,,0,10,0,0,0,0,0,0,12,0,0,0,,0,0,0,0,0,0,,,8,,0,0,0,10,2,0,0
Cyprus,7,0,,0,,0,0,0,10,0,,,0,0,0,0,,0,12,0,0,0,0,0,0,0,12,0,0,,0,0,0,0,1,0,,,1,,0,0,0,0,0,0,3
Spain,0,12,,0,,0,0,0,0,0,0,,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,8,0,0,,,0,,0,,0,4,0,0,0
Israel,3,8,,1,,8,6,0,0,0,0,,5,1,5,10,,5,0,8,0,6,,2,3,0,8,6,12,,7,5,0,5,7,8,,,0,,0,6,1,1,3,7,7
Serbia and Montenegro,6,0,,12,,3,0,10,4,12,10,,0,0,0,6,,3,6,2,0,0,0,1,0,10,0,1,6,,4,0,0,0,6,6,,,,,10,0,4,12,0,3,0
Denmark,0,3,,0,,0,4,0,0,0,0,,,5,2,0,,6,0,6,10,7,3,4,4,0,3,0,10,,8,12,5,1,4,0,,,0,,0,10,10,0,0,0,8
Sweden,0,0,,0,,0,0,0,0,0,0,,7,0,6,0,,0,0,0,0,0,0,0,0,6,0,5,3,,0,1,0,0,0,0,,,0,,0,2,,0,0,0,0
Macedonia,10,0,,0,,0,0,7,7,8,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,1,,0,0,0,0,0,0,,,7,,5,0,0,2,5,0,0
Ukraine,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,8,0,,0,0,12,7,0,2,,,0,,0,1,0,0,0,,0
Germany,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,2,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
Croatia,2,0,,8,,0,0,12,2,,0,,0,2,1,0,,2,0,7,1,0,0,7,6,8,0,0,7,,2,2,2,0,5,1,,,10,,12,0,0,8,0,8,0
Greece,12,4,,4,,0,12,6,12,5,12,,2,0,3,8,,12,,12,2,2,7,0,1,7,6,4,0,,10,4,1,3,10,4,,,12,,2,8,12,7,12,0,12
Russia,0,0,,0,,12,0,0,0,0,0,,0,7,7,0,,0,0,0,0,0,0,10,7,0,0,10,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,4,0
Bosnia and Herzegovina,0,0,,10,,0,0,,0,10,0,,4,0,0,0,,0,0,0,0,1,0,0,0,3,0,0,0,,6,7,0,0,0,0,,,4,,8,0,7,5,10,0,4
Switzerland,0,1,,0,,10,0,0,0,3,4,,1,12,10,0,,4,3,3,7,3,2,12,8,0,1,0,8,,0,3,6,4,0,7,,,0,,6,0,5,,0,5,0
Latvia,0,10,,0,,6,5,0,0,7,1,,6,10,4,0,,7,1,1,3,12,6,,12,0,10,12,0,,0,8,4,6,0,5,,,0,,7,0,3,0,0,1,6
France,1,5,,0,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,5,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
Spain,0,12,,0,,2,7,0,,0,7,,0,0,0,8,,2,3,,1,0,8,0,0,1,3,,3,,4,0,1,12,5,0,,,0,,0,,0,6,2,0,0
Austria,0,0,,,,0,0,0,,0,0,,0,0,0,4,,0,5,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
Norway,0,0,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,,,0,,0,0,3,0,0,0,0
France,1,7,,0,,0,10,0,,0,0,,0,0,0,,,0,0,,0,0,0,0,0,0,0,,12,,0,0,0,2,0,4,,,0,,0,4,0,0,0,0,0
Serbia and Montenegro,7,2,,12,,7,3,12,,12,10,,7,1,10,10,,10,8,,7,3,7,5,2,10,6,,1,,10,6,5,7,8,10,,,,,12,6,12,12,8,12,3
Malta,3,6,,0,,0,0,1,,2,0,,1,6,0,0,,0,1,,0,6,4,6,4,3,,,0,,0,0,3,1,0,0,,,0,,0,0,0,0,0,1,2
Netherlands,0,0,,0,,0,6,0,,0,0,,0,3,0,0,,0,0,,0,0,0,0,0,0,2,,0,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
Germany,2,0,,10,,0,0,3,,1,0,,0,2,0,7,,,0,,0,4,0,0,1,0,0,,7,,3,1,6,8,4,0,,,0,,3,12,0,10,5,0,4
Albania,,0,,5,,0,1,4,,6,0,,4,0,3,1,,5,10,,4,2,0,1,0,12,10,,0,,1,3,0,0,1,0,,,8,,4,0,7,7,6,0,1
Ukraine,5,10,,4,,10,5,6,,8,8,,5,12,8,2,,6,7,,12,7,12,12,12,8,8,,6,,7,7,12,10,6,12,,,10,,8,8,10,0,12,,5
Croatia,0,0,,3,,5,0,10,,,0,,0,0,1,0,,1,0,,0,0,0,0,0,5,0,,0,,0,0,0,0,0,5,,,5,,5,0,0,3,0,7,0
Bosnia and Herzegovina,10,0,,7,,0,0,,,10,0,,8,0,0,0,,0,0,,0,0,0,0,0,4,0,,4,,2,10,0,0,0,0,,,6,,10,0,8,5,7,0,0
Belgium,0,1,,0,,0,,0,,0,1,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,0,,5,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
Russia,0,0,,0,,12,0,0,,0,6,,0,8,4,0,,0,2,,0,0,6,10,8,0,0,,0,,0,0,0,0,0,,,,1,,0,0,0,0,0,10,0
Macedonia,6,0,,0,,0,0,8,,5,0,,0,0,0,0,,0,0,,0,0,0,0,0,,1,,0,,0,0,0,0,0,0,,,12,,7,0,0,1,4,3,0
Greece,12,8,,2,,6,8,5,,7,12,,3,5,6,6,,7,,,6,5,10,7,10,7,12,,10,,6,2,7,6,12,7,,,7,,6,7,4,4,10,8,12
Iceland,0,0,,0,,0,0,0,,0,0,,2,0,2,0,,0,0,,,0,0,0,0,0,0,,5,,0,5,0,0,0,2,,,0,,0,0,0,0,0,0,0
Ireland,0,0,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,7
Poland,0,0,,0,,0,0,0,,0,2,,0,0,0,0,,4,4,,3,0,0,0,7,0,0,,0,,0,0,,0,0,0,,,0,,0,1,1,0,0,5,0
United Kingdom,0,0,,0,,1,0,0,,0,0,,0,4,0,0,,0,0,,2,8,0,3,0,0,4,,0,,0,0,2,0,2,1,,,0,,0,0,2,0,0,0,
Cyprus,0,4,,6,,8,4,0,,4,,,6,7,7,5,,8,12,,10,10,3,4,5,0,7,,2,,8,4,4,3,3,6,,,3,,1,3,6,2,1,4,10
Turkey,8,3,,8,,3,12,7,,3,4,,10,0,5,12,,12,6,,5,1,2,2,3,6,0,,8,,12,8,8,0,10,8,,,2,,0,2,5,8,,6,6
Romania,0,0,,0,,0,0,0,,0,3,,0,0,0,0,,0,0,,0,0,1,0,0,0,0,,0,,0,0,0,4,,0,,,0,,0,10,0,0,0,0,0
Sweden,4,5,,1,,4,2,2,,0,5,,12,10,12,3,,3,0,,8,12,5,8,6,2,5,,0,,0,12,10,5,7,3,,,4,,2,5,,0,3,2,8
Iceland,,,,0,,,3,0,,6,5,,,1,,1,,1,0,,,7,0,3,,,12,,,,6,12,1,0,0,0,,,,,4,0,7,,8,4,0
